iter	Passed	Remaining
346	1195152	2593516
347	1198182	2589176
348	1200490	2583289
349	1204463	2580992
350	1207283	2576226
351	1209938	2571120
352	1212542	2565919
353	1215991	2562513
354	1219939	2560155
355	1222591	2555079
356	1225108	2549735
357	1228015	2545215
358	1231575	2542053
359	1234713	2538021
360	1237338	2532945
361	1240085	2528129
362	1243428	2524536
363	1245906	2519196
364	1250027	2517177
365	1252521	2511887
366	1255987	2508553
367	1258623	2503566
368	1261192	2498460
369	1265083	2495976
370	1268615	2492777
371	1271208	2487740
372	1273757	2482632
373	1276531	2477972
374	1280485	2475604
375	1283005	2470467
376	1285665	2465613
377	1288396	2460905
378	1292190	2458230
379	1294460	2452662
380	1297948	2449408
381	1300675	2444726
382	1303442	2440126
383	1306030	2435203
384	1309934	2432734
385	1312976	2428665
386	1315691	2423999
387	1319237	2420869
388	1321960	2416230
389	1325721	2413492
390	1328526	2409016
391	1331225	2404356
392	1334659	2401028
393	1337515	2396664
394	1341747	2394763
395	1344345	2389947
396	1347109	2385436
397	1350610	2382232
398	1353109	2377268
399	1356733	2374283
400	1359569	2369922
401	1363101	2366778
402	1365596	2361837
403	1368181	2357064
404	1371900	2354249
405	1375607	2351407
406	1378296	2346828
407	1380901	2342118
408	1383879	2338045
409	1388071	2336023
410	1390457	2330962
411	1393885	2327654
412	1396647	2323237
413	1400454	2320560
414	1402902	2315633
415	1406288	2312263
416	1409114	2307973
417	1411683	2303272
418	1414181	2298466
419	1418474	2296578
420	1421253	2292235
421	1423900	2287689
422	1426550	2283154
423	1429231	2278680
424	1433285	2276394
425	1436031	2272031
426	1438554	2267322
427	1441308	2262988
428	1444964	2260072
429	1449032	2257795
430	1451740	2253397
431	1454336	2248835
432	1457972	2245883
433	1461513	2242784
434	1463961	2238009
435	1466638	2233596
436	1470160	2230472
437	1472748	2225934
438	1475552	2221730
439	1479182	2218773
440	1482660	2215586
441	1485208	2211011
442	1487903	2206664
443	1490654	2202408
444	1496645	2202927
445	1498702	2197649
446	1500069	2191376
447	1502413	2186548
448	1505163	2182319
449	1508017	2178247
450	1512162	2176038
451	1514745	2171581
452	1517488	2167362
453	1520176	2163070
454	1524759	2161472
455	1527241	2156893
456	1529958	2152655
457	1532604	2148323
458	1536101	2145187
459	1538478	2140491
460	1543070	2138875
461	1545929	2134855
462	1549513	2131835
463	1552444	2127919
464	1556242	2125191
465	1558420	2120254
466	1560843	2115661
467	1563523	2111424
468	1566976	2108234
469	1569356	2103605
470	1574120	2102170
471	1575446	2096145
472	1577776	2091471
473	1580416	2087216
474	1583670	2083777
475	1587361	2080911
476	1589982	2076643
477	1592501	2072250
478	1595065	2067924
479	1598582	2064835
480	1603251	2063227
481	1605861	2058967
482	1608626	2054911
483	1611474	2050967
484	1614120	2046771
485	1617246	2043188
486	1621574	2041119
487	1624400	2037158
488	1626924	2032824
489	1629657	2028756
490	1632889	2025315
491	1637157	2023154
492	1639773	2018950
493	1642446	2014822
494	1645152	2010741
495	1649370	2008507
496	1651910	2004229
497	1654683	2000239
498	1658470	1997476
499	1661201	1993441
500	1664167	1989693
501	1666787	1985536
502	1669595	1981607
503	1673204	1978630
504	1674572	1973011
505	1677071	1968735
506	1679323	1964179
507	1682791	1961048
508	1685410	1956930
509	1688018	1952805
510	1691395	1949572
511	1695875	1947607
512	1698474	1943478
513	1701246	1939553
514	1704090	1935714
515	1706689	1931601
516	1710217	1928543
517	1713552	1925265
518	1716327	1921360
519	1718535	1916827
520	1721080	1912678
521	1725519	1910633
522	1728829	1907331
523	1731060	1902845
524	1733530	1898628
525	1736887	1895387
526	1741510	1893520
527	1743942	1889271
528	1746737	1885419
529	1749591	1881635
530	1753270	1878739
531	1756656	1875527
532	1759359	1871588
533	1762079	1867672
534	1764819	1863781
535	1767618	1859956
536	1772770	1858603
537	1775586	1854794
538	1778301	1850885
539	1780996	1846959
540	1783702	1843049
541	1788203	1840992
542	1790714	1836883
543	1793367	1832926
544	1796039	1828994
545	1799655	1826024
546	1803632	1823416
547	1807840	1821036
548	1810553	1817149
549	1813437	1813437
550	1816047	1809456
551	1819404	1806220
552	1822354	1802582
553	1825890	1799523
554	1828397	1795453
555	1831060	1791541
556	1834510	1788400
557	1838111	1785405
558	1839876	1780631
559	1843288	1777456
560	1846074	1773679
561	1849989	1770986
562	1852481	1766931
563	1855097	1763000
564	1858633	1759945
565	1861341	1756107
566	1864640	1752828
567	1867081	1748744
568	1870476	1745558
569	1873083	1741639
570	1875548	1737592
571	1879041	1734499
572	1882069	1730977
573	1885133	1727491
574	1887711	1723562
575	1890323	1719669
576	1894515	1717212
577	1897387	1713557
578	1900682	1710286
579	1903407	1706503
580	1906334	1702904
581	1909221	1699272
582	1911844	1695409
583	1915087	1692098
584	1917862	1688374
585	1920289	1684349
586	1924257	1681676
587	1927127	1678043
588	1930628	1674959
589	1933117	1670999
590	1935739	1667159
591	1939133	1663985
592	1942674	1660937
593	1945255	1657069
594	1947768	1653148
595	1950542	1649451
596	1953963	1646303
597	1956381	1642313
598	1959700	1639082
599	1962505	1635421
600	1965581	1631989
601	1968765	1628646
602	1972393	1625670
603	1975289	1622092
604	1977816	1618213
605	1980746	1614667
606	1983780	1611209
607	1987326	1608165
608	1989835	1604284
609	1992393	1600447
610	1995889	1597364
611	1998676	1593716
612	2003259	1591496
613	2005954	1587774
614	2008760	1584144
615	2012374	1581151
616	2014364	1576884
617	2017874	1573811
618	2021473	1570805
619	2024400	1567277
620	2026722	1563284
621	2029466	1559622
622	2032992	1556560
623	2036585	1553549
624	2039199	1549791
625	2042079	1546238
626	2044774	1542549
627	2048953	1539978
628	2051511	1536187
629	2054114	1532434
630	2056793	1528741
631	2059542	1525104
632	2062970	1521970
633	2066109	1518623
634	2069262	1515286
635	2072001	1511648
636	2074639	1507940
637	2078105	1504835
638	2081595	1501745
639	2084104	1497950
640	2086641	1494178
641	2089100	1490354
642	2094665	1488743
643	2095758	1483953
644	2098001	1479985
645	2099736	1475666
646	2103163	1472539
647	2105726	1468809
648	2109773	1466113
649	2112154	1462260
650	2114834	1458618
651	2118536	1455681
652	2121419	1452181
653	2124530	1448838
654	2127358	1445304
655	2130142	1441742
656	2132941	1438193
657	2135634	1434574
658	2139642	1431839
659	2142873	1428582
660	2145545	1424953
661	2148196	1421314
662	2151048	1417810
663	2155500	1415359
664	2158215	1411764
665	2161039	1408244
666	2164017	1404826
667	2166799	1401283
668	2169676	1397803
669	2172967	1394591
670	2176525	1391549
671	2179352	1388039
672	2181890	1384349
673	2184952	1380993
674	2188461	1377920
675	2191348	1374455
676	2193852	1370753
677	2196514	1367152
678	2200450	1364344
679	2203874	1361216
680	2206380	1357523
681	2209157	1353999
682	2212222	1350654
683	2216295	1347922
684	2218782	1344225
685	2221383	1340601
686	2224138	1337073
687	2227678	1334016
688	2230323	1330425
689	2233467	1327132
690	2236253	1323629
691	2239162	1320199
692	2241458	1316412
693	2244879	1313287
694	2248282	1310150
695	2251082	1306662
696	2254439	1303499
697	2257187	1299984
698	2259753	1296367
699	2264454	1293973
700	2268656	1291289
701	2271317	1287727
702	2273012	1283621
703	2275243	1279824
704	2277799	1276213
705	2280356	1272606
706	2283029	1269067
707	2286425	1265930
708	2289209	1262455
709	2293103	1259591
710	2295896	1256123
711	2298819	1252727
712	2302606	1249801
713	2305072	1246159
714	2310171	1243938
715	2312946	1240463
716	2316592	1237454
717	2318305	1233416
718	2321788	1230321
719	2325058	1227114
720	2327866	1223663
721	2330476	1220111
722	2333348	1216697
723	2336846	1213610
724	2339730	1210205
725	2342389	1206685
726	2345216	1203253
727	2348910	1200267
728	2351454	1196693
729	2354895	1193577
730	2357349	1189961
731	2360957	1186929
732	2364384	1183804
733	2368210	1180878
734	2382155	1182975
735	2383830	1178959
736	2386316	1175349
