iter	Logloss
0	0.683252108
1	0.672558192
2	0.6639588373
3	0.6556181936
4	0.6479650047
5	0.6360848162
6	0.6239055435
7	0.6126773427
8	0.6028768648
9	0.5938196003
10	0.5846055167
11	0.5759704679
12	0.568392307
13	0.5607777231
14	0.5532816897
15	0.5344807965
16	0.5175521175
17	0.5036073406
18	0.4903501299
19	0.4831344165
20	0.4758743559
21	0.4687980541
22	0.4574773782
23	0.4514178816
24	0.4429809672
25	0.4382864555
26	0.4294041995
27	0.4251820617
28	0.4206238837
29	0.4142112406
30	0.4110738658
31	0.4082874532
32	0.4053280735
33	0.4026993343
34	0.3999201308
35	0.3976506543
36	0.3927144815
37	0.3881374749
38	0.3862823357
39	0.3820159221
40	0.3800481616
41	0.37802614
42	0.3742697313
43	0.3722271027
44	0.3687877051
45	0.3671981906
46	0.3656905421
47	0.3628515601
48	0.3599871225
49	0.357054363
50	0.3558323441
51	0.3549032492
52	0.3526099783
53	0.3517378817
54	0.3508999888
55	0.3496955617
56	0.348965845
57	0.3470082378
58	0.346218415
59	0.3447978938
60	0.3440146681
61	0.3434740873
62	0.3430527998
63	0.3422420261
64	0.3412291131
65	0.3396794224
66	0.3379407753
67	0.3365517332
68	0.3357362577
69	0.334551175
70	0.333632381
71	0.3325678513
72	0.3319936379
73	0.3308794704
74	0.3303941907
75	0.3292597753
76	0.3285724656
77	0.3276547234
78	0.3270271019
79	0.326355696
80	0.3253838237
81	0.3247410499
82	0.3235503206
83	0.3230343513
84	0.3225047292
85	0.3223859186
86	0.3220157091
87	0.3211722414
88	0.3207045937
89	0.3204188547
90	0.3200476421
91	0.3194510033
92	0.318993579
93	0.3176319746
94	0.3173234795
95	0.3169055113
96	0.316276807
97	0.3159301665
98	0.3156914976
99	0.3155038273
100	0.3151375178
101	0.314436536
102	0.313466655
103	0.3130448261
104	0.31256633
105	0.3119958402
106	0.3114520181
107	0.3109447062
108	0.3105634498
109	0.3101872325
110	0.3100193001
111	0.3097122608
112	0.3094793414
113	0.3089397779
114	0.3086785791
115	0.3082955258
116	0.3079427017
117	0.3074442466
118	0.3070324566
119	0.3068666087
120	0.3065782007
121	0.3063700532
122	0.306013271
123	0.3055824473
124	0.3054043614
125	0.3051327743
126	0.3048042869
127	0.3046318597
128	0.3043940581
129	0.3042954035
130	0.3041510001
131	0.3039261248
132	0.3033476141
133	0.3030143518
134	0.3026562983
135	0.3024541422
136	0.3016168071
137	0.3012800056
138	0.3010943972
