iter	Passed	Remaining
401	16659	28927
402	16697	28878
403	16734	28829
404	16766	28772
405	16800	28717
406	16832	28660
407	16864	28604
408	16898	28549
409	16948	28523
410	16982	28468
411	17015	28414
412	17047	28357
413	17079	28300
414	17113	28246
415	17149	28197
416	17180	28139
417	17210	28081
418	17255	28044
419	17301	28011
420	17338	27964
421	17370	27907
422	17408	27862
423	17441	27807
424	17486	27772
425	17519	27719
426	17551	27663
427	17583	27608
428	17616	27554
429	17649	27501
430	17679	27441
431	17712	27389
432	17744	27333
433	17782	27287
434	17817	27237
435	17851	27187
436	17884	27134
437	17917	27080
438	17953	27031
439	17985	26978
440	18020	26928
441	18053	26876
442	18093	26833
443	18127	26782
444	18160	26730
445	18190	26674
446	18232	26634
447	18263	26580
448	18301	26534
449	18338	26488
450	18375	26442
451	18408	26390
452	18442	26341
453	18476	26290
454	18511	26241
455	18543	26188
456	18587	26152
457	18621	26102
458	18656	26053
459	18691	26004
460	18722	25951
461	18757	25903
462	18799	25865
463	18834	25815
464	18870	25769
465	18906	25722
466	18950	25687
467	18989	25643
468	19025	25597
469	19059	25547
470	19091	25495
471	19121	25440
472	19157	25394
473	19189	25343
474	19233	25306
475	19268	25259
476	19300	25207
477	19334	25158
478	19367	25109
479	19405	25064
480	19435	25011
481	19467	24959
482	19504	24915
483	19536	24864
484	19571	24817
485	19606	24770
486	19649	24733
487	19694	24698
488	19741	24666
489	19792	24639
490	19834	24601
491	19879	24566
492	19923	24531
493	19970	24497
494	20016	24464
495	20059	24427
496	20109	24398
497	20159	24369
498	20203	24333
499	20250	24300
500	20311	24284
501	20356	24249
502	20400	24212
503	20439	24170
504	20482	24133
505	20527	24098
506	20573	24063
507	20622	24032
508	20667	23997
509	20716	23966
510	20766	23936
511	20817	23907
512	20865	23875
513	20910	23839
514	20958	23807
515	21007	23775
516	21051	23739
517	21098	23705
518	21145	23671
519	21199	23645
520	21251	23617
521	21305	23591
522	21356	23561
523	21404	23528
524	21452	23496
525	21504	23466
526	21563	23445
527	21614	23415
528	21667	23388
529	21717	23356
530	21763	23321
531	21810	23286
532	21865	23260
533	21924	23238
534	21978	23210
535	22026	23177
536	22079	23148
537	22149	23137
538	22209	23116
539	22262	23087
540	22317	23060
541	22366	23026
542	22422	23000
543	22481	22977
544	22551	22964
545	22607	22938
546	22660	22909
547	22709	22875
548	22763	22846
549	22814	22814
550	22872	22789
551	22929	22763
552	22988	22738
553	23040	22707
554	23090	22674
555	23144	22644
556	23200	22617
557	23259	22592
558	23309	22558
559	23359	22525
560	23411	22493
561	23462	22460
562	23522	22436
563	23565	22396
564	23611	22358
565	23658	22320
566	23701	22280
567	23752	22247
568	23804	22214
569	23856	22182
570	23932	22171
571	23984	22139
572	24033	22103
573	24082	22068
574	24129	22030
575	24182	21999
576	24231	21963
577	24297	21943
578	24349	21910
579	24402	21878
580	24460	21850
581	24515	21820
582	24567	21786
583	24622	21755
584	24673	21721
585	24728	21689
586	24779	21655
587	24838	21628
588	24885	21589
589	24945	21563
590	24998	21529
591	25051	21496
592	25102	21461
593	25160	21432
594	25219	21404
595	25272	21371
596	25324	21336
597	25378	21304
598	25426	21266
599	25483	21235
600	25527	21194
601	25581	21161
602	25632	21126
603	25686	21093
604	25735	21056
605	25782	21017
606	25834	20982
607	25896	20955
608	25949	20921
609	26005	20889
610	26057	20854
611	26108	20818
612	26162	20784
613	26212	20747
614	26268	20715
615	26318	20678
616	26375	20647
617	26426	20610
618	26483	20579
619	26538	20545
620	26585	20506
621	26638	20471
622	26690	20435
623	26742	20399
624	26793	20363
625	26845	20326
626	26900	20293
627	26952	20257
628	27008	20224
629	27068	20193
630	27121	20158
631	27173	20121
632	27222	20083
633	27281	20052
634	27341	20021
635	27399	19989
636	27447	19949
637	27507	19919
638	27559	19882
639	27613	19847
640	27669	19813
641	27721	19776
642	27774	19739
643	27825	19702
644	27873	19662
645	27935	19632
646	27987	19595
647	28040	19559
648	28097	19525
649	28151	19489
650	28196	19447
651	28250	19411
652	28310	19379
653	28365	19344
654	28417	19306
655	28484	19279
656	28534	19240
657	28585	19201
658	28637	19164
659	28685	19123
660	28739	19087
661	28792	19050
662	28844	19011
663	28906	18980
664	28957	18941
